Player,Tier,Team,GP,W,L,bc_name,bc_games,shooting_pct,score,boost_per_min,avg_boost,boost_stolen,pct_zero_boost,avg_speed,pct_supersonic,pct_high_air,dist_to_ball,pct_offensive_third,demos_inflicted,demos_taken,win_pct
DeeJayZ_,Prospect,Tanuki,28,17,11,DeeJayZ_,28,33.840202,423.14285714285717,334.75246000000004,53.78391942857143,480.64285714285717,5.65416972857143,1463.5234142857146,9.798325142857141,3.465491142857143,2835.9331857142856,19.32091271428572,1.0357142857142858,1.1071428571428572,0.6071428571428571
virchowtriad,Contender,Mustangs,28,21,7,virchowtriad,28,40.68925042857143,423.0357142857143,387.97551857142855,53.472104571428574,396.7857142857143,13.728092357142856,1407.9159571428572,8.88632657142857,2.1600944714285713,3245.4251,17.995553,0.5714285714285714,1.2142857142857142,0.75
ChromaToad,Challenger,Panda Bears,32,10,22,ChromaToad,32,20.422078,370.03125,363.18721249999993,48.249470249999995,432.34375,10.057065987500001,1505.4868000000001,15.502401625000001,4.460809525,2730.6496374999997,18.702690625,1.1875,1.0,0.3125
Regal_king1,Amateur,HR Violation,29,22,7,Regal_King1,29,43.094566137931025,408.24138,324.53169034482755,60.16445589655173,332.8965517241379,5.100812400000001,1472.8031,12.088324862068967,2.2269875413793105,3407.0446655172414,19.817792620689655,0.48275862137931036,0.9655172448275863,0.7586206896551724
sYNXNZ.,Elite,Peerless Scarred,28,18,10,sYNXNZ.,12,30.662392999999998,401.5,366.9522133333333,57.58195800000001,559.9166666666666,9.5247665,1513.1292,12.973076333333333,6.747877566666666,2878.668,20.090887999999996,0.3333333333333333,0.75,0.6428571428571429
Choco,Veteran,Gorillas,28,24,4,Choco,28,33.137972857142856,422.25,357.69133285714287,47.724906,460.85714285714283,9.68527802857143,1523.2195142857142,13.632803857142857,4.578586657142857,3059.424857142857,21.08521314285714,1.0714285714285714,1.2142857142857142,0.8571428571428571
Dilpikle6801,Rival,Prowlers,28,17,11,Dilpikle6801,28,39.93741171428571,422.17857142857144,331.9432014285714,54.03321114285715,470.32142857142856,6.253371514285713,1516.7358571428572,8.707710142857144,3.507321057142857,2893.0256999999997,20.040645285714284,0.9642857142857143,1.1071428571428572,0.6071428571428571
Tryhard goblin,Prospect,Koala Bears,29,14,15,Tryhard goblin,29,37.7643048275862,406.13793103448273,303.62429241379317,52.27122,448.55172413793105,9.14576606551724,1419.2603448275863,9.231156551724137,4.060833393103449,2880.1916689655172,21.736017448275863,0.9655172413793104,1.0689655172413792,0.4827586206896552
phyzixs.,Rival,Dracos,27,19,8,phyzixs.,27,34.30896251851852,435.2962962962963,368.21937074074077,51.297581666666666,407.74074148148145,8.520876185185184,1489.244637037037,11.755759851851852,2.019683977777778,2820.8545407407405,22.11405348148148,1.1111111074074074,1.5925925962962963,0.7037037037037037
waffles,Rival,Centipedes,31,14,17,waffles,31,29.014104258064513,378.9354832258065,377.83110999999997,50.346466516129034,560.9999967741935,10.209156387096774,1519.3684645161288,13.30565522580645,6.061681970967742,2932.5327258064517,22.589355354838712,0.7419354838709677,0.9354838774193548,0.45161290322580644
